,question,answers
953,"On what date did  the Pennsylvania Railroad's ""Federal"", the overnight train from Boston, crash into the station?","On the morning of January 15, 1953, the Pennsylvania Railroad's ""Federal"", the overnight train from Boston, crashed into the station."
954,How much of the population of Tunisia were French-speakers in 2010?,"In 2010, there were 6,639,000 French-speakers in Tunisia, or about 64% of the population."
955,Who is Seaworld's spokesperson?,"In response to criticism leveled at SeaWorld and other marine parks by the award-winning documentary film ""The Cove"" which accuses them of obtaining dolphins obtained in drive hunts, SeaWorld spokesperson Fred Jacobs stated that, ""We think we're being unfairly criticized for something we're opposed to."""
956,When did Hershey Park get water rides?,"The park's first water ride, the Mill Chute installed in 1929, was alongside the creek where Great Bear runs today."
957,What is the most common type of snorkel like?,The most common type of snorkel is a simple tube that is allowed to flood when underwater.
958,What is the film Captain Phillips?,Captain Phillips (film)Captain Phillips is a 2013 American thriller film directed by Paul Greengrass and starring Tom Hanks and Barkhad Abdi.
959,Which marathon traces the route of the 1896 Olympic course?,"The Athens Classic Marathon traces the route of the 1896 Olympic course, starting in Marathon on the eastern coast of Attica, site of the Battle of Marathon of 490 B.C.E., and ending at the Panathenaic Stadium in Athens."
960,What is the percentage of injured competitors?,A 2009 meta-analysis reported that an average of about 8% of competitors are injured per exposure to competition.
962,When did Pharoah Khufu rule in Egypt?,"Rainer Stadelmann, former director of the German Archaeological Institute in Cairo, examined the distinct iconography of the ""nemes"" (headdress) and the now-detached beard of the Sphinx and concluded that the style is more indicative of the Pharaoh Khufu (2589–2566 BC), builder of the Great Pyramid of Giza and Khafra's father."
963,What portion of GDP in the UK is expended on healthcare?,"The UK spends around 8.4 per cent of its gross domestic product on healthcare, which is 0.5 percentage points below the Organisation for Economic Co-operation and Development average and about one percentage point below the average of the European Union."
964,Describe a reef knot.,reef knot — joining two ends of a single line to bind around an object
965,"Whose note were ""Thanks for the poor security""?","On 12 February 1994, the same day as the opening of the 1994 Winter Olympics in Lillehammer, two men broke into the National Gallery, Oslo, and stole its version of ""The Scream"", leaving a note reading ""Thanks for the poor security""."
966,When was the official announcement made for Before Midnight?,"However, Hawke and Delpy's denial was proven to be a ruse when the completion of filming of the new movie, titled ""Before Midnight"", was announced on September 5, 2012."
967,When was the electron discovered?,"In 1897, J. J. Thomson of Cambridge University discovered the electron and soon after the French scientist Becquerel as well as the couple Pierre and Marie Curie investigated the phenomenon of radioactivity."
968,What is Grizzly Peak's main attraction?,"Its main attraction is Grizzly River Run, a Gold Rush-esque river rapids ride around the summit of Grizzly Peak."
969,How many times did Monet paint the subject?,"Monet painted the subject twice and it is uncertain which of the two pictures, that now in the Pushkin Museum in Moscow, or that in the Nelson-Atkins Museum of Art in Kansas City was the painting that appeared in the groundbreaking 1874 exhibition, though more recently the Moscow picture has been favoured."
970,How many different species live in Japan?,"Japan has over 90,000 species of wildlife, including the brown bear, the Japanese macaque, the Japanese raccoon dog, and the Japanese giant salamander."
971,Whcih company commissioned the show in 1998?,"The 1998 programme was commissioned by BBC One, although still produced for them by Granada Television."
972,Can you get to the Cave of Winds from Goat Island?,"From Goat Island, the Cave of the Winds is accessible by elevator and leads hikers to a point beneath Bridal Veil Falls."
973,"When the Sydney Opera House was formally opened, who presided over the ceremony?","The Opera House was formally opened by Elizabeth II, Queen of Australia, on 20 October 1973."
974,What are the most common combined events?,"Outdoors, the most common combined events are the men's decathlon and the women's heptathlon."
975,Who built the National Air and Space museum?,"Built by Gilbane Building Company, the museum was completed in 1976."
976,Austria consists of how many states?,"As a federal republic, Austria is divided into nine states ()."
977,Where can I find the revised rules?,"No copy of these rules now exists, but a revised version from circa 1856 is held in the library of Shrewsbury School."
978,What problem did the foam used for making the cape present in  Batman Begins?,"The latter presented a problem, since the process to make the foam black reduced the foam's durability."
980,"Did Tobias Meyer describe ""The Scream"" in positive terms?","After the sale, Sotheby's auctioneer Tobias Meyer said the painting was ""worth every penny"", adding: ""It is one of the great icons of art in the world and whoever bought it should be congratulated."
981,What is a reception also called?,"Also called reception, the pass is the attempt by a team to properly handle the opponent's serve, or any form of attack."
982,What did 'Life is Beautiful' win in 1998?,"""Life is Beautiful"" was shown at the 1998 Cannes Film Festival, and went on to win the Grand Prix."
983,What age did Mikhail Gorbachev become a member of the Politburo?,"At age 54, he was the youngest member of the Politburo."
984,How many people attended Monet's funeral?,Monet had insisted that the occasion be simple; thus only about fifty people attended the ceremony.
985,What is Germany's 1949 constitutional document known as?,"The German political system operates under a framework laid out in the 1949 constitutional document known as the ""Grundgesetz"" (Basic Law)."
986,Which industry is a key element of Greek economic activity?,The shipping industry is a key element of Greek economic activity dating back to ancient times.
